Label,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4
A,0,unknow,-1.0,-62,far,7.723629252360804,-64,far,8.422399648581722,-47,near,0.7008195123004541
A,0,unknow,-1.0,-62,far,7.4366174106102845,-63,far,8.166721458496276,-48,near,0.8167271839153329
A,0,unknow,-1.0,-61,far,7.044273908798238,-64,far,8.10749762430209,-47,near,0.8413555428743081
A,-71,far,24.036426123385336,-71,far,8.76562054973227,-68,far,9.59599657452378,-66,near,2.022548330218253
A,-71,far,23.515362242486106,-71,far,9.46840208144329,-68,far,9.930035895782805,-66,far,2.62768939223721
A,-72,far,23.338803633629475,-71,far,10.156482314578668,-65,far,9.767730649632616,-65,far,3.219615397358036
A,-72,far,23.179110854808098,-71,far,10.82142409990152,-65,far,9.631715763610906,-64,far,3.745493699966718
A,-73,far,23.281909326148085,-72,far,11.566241200908177,-65,far,9.516626298091804,-64,far,4.233237712679101
A,-73,far,24.1382102814578,-69,far,12.760955269287424,-69,far,10.326670585824095,-69,far,6.013509734185373
A,-72,far,23.900923088674922,-70,far,13.126288837439748,-70,far,10.845324420987554,-75,far,7.027145392123472
A,-71,far,23.398192214157614,-71,far,13.613869972984235,-68,far,11.065451826393584,-71,far,7.86224283601525
A,-70,far,22.64673925626951,-71,far,14.067457845538096,-68,far,11.263304895391787,-71,far,8.675924522443871
A,-71,far,22.287888954839506,-71,far,14.488410514765647,-68,far,11.441126435132155,-74,far,9.696688886330222
A,-72,far,19.319748908293448,-70,far,15.158737222938369,-70,far,11.859232635955177,-67,far,11.515195854625404
A,-74,far,19.84592593855419,-69,far,15.098029005227986,-73,far,12.616218995167948,-67,far,11.496240855967104
A,-71,far,19.765080208555883,-68,far,14.80162186549813,-75,far,13.555610942065815,-66,far,11.289091815208906
A,-71,far,19.691532266160994,-68,far,14.556602597258069,-70,far,13.850397394831614,-65,far,10.914403386105239
A,-73,far,20.036867158432074,-68,far,14.350715187352867,-71,far,14.281613202350945,-65,far,10.606496894930649
A,-69,far,19.24531974678309,-67,far,14.144889956096499,-66,far,14.085701757420509,-59,far,7.752011319131557
A,-69,far,18.72644103728294,-67,far,13.78071843463169,-64,far,12.946980929142207,-59,far,6.955549430811303
A,-70,far,18.52296860556015,-70,far,14.04375470049706,-67,far,12.75544104680883,-58,far,6.188706992244311
A,-70,far,18.340463772022783,-72,far,14.588739673798457,-66,far,12.385486458613371,-59,far,5.7764608816300775
A,-70,far,18.176720071979418,-66,far,13.909047858382735,-64,far,11.625267791218409,-61,far,5.698337926694818
