Label,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4
C,-57.0,far,5.3462248233061,-67.0,far,9.80015583456109,-69.0,far,13.014106796585224,-70.0,far,21.167086864948992
C,-57.0,far,5.3462248233061,-67.0,far,9.80015583456109,-69.0,far,13.014106796585224,-70.0,far,21.167086864948992
C,-57.0,far,5.3462248233061,-67.0,far,9.80015583456109,-69.0,far,13.014106796585224,-70.0,far,21.167086864948992
C,-60.0,far,5.221383870942109,-68.0,far,10.108059831156716,-68.0,far,13.003533646072485,-71.0,far,20.909003378130734
C,-60.0,far,5.221383870942109,-68.0,far,10.108059831156716,-68.0,far,13.003533646072485,-71.0,far,20.909003378130734
C,-60.0,far,5.221383870942109,-68.0,far,10.108059831156716,-68.0,far,13.003533646072485,-71.0,far,20.909003378130734
C,-63.0,far,5.424497941546737,-69.0,far,10.51913389654452,-71.0,far,13.45598886505016,-75.0,far,21.66137632725624
C,-63.0,far,5.424497941546737,-69.0,far,10.51913389654452,-71.0,far,13.45598886505016,-75.0,far,21.66137632725624
C,-63.0,far,5.424497941546737,-69.0,far,10.51913389654452,-71.0,far,13.45598886505016,-75.0,far,21.66137632725624
C,-66.0,far,5.8574450125864495,-68.0,far,11.117180663018912,-72.0,far,14.564240086254616,-74.0,far,23.51691042940754
C,-66.0,far,5.8574450125864495,-68.0,far,11.117180663018912,-72.0,far,14.564240086254616,-74.0,far,23.51691042940754
C,-66.0,far,5.8574450125864495,-68.0,far,11.117180663018912,-72.0,far,14.564240086254616,-74.0,far,23.51691042940754
C,-66.0,far,5.8574450125864495,-68.0,far,11.117180663018912,-72.0,far,14.564240086254616,-74.0,far,23.51691042940754
C,-65.0,far,6.3207110469910175,-65.0,far,10.771114105080107,-71.0,far,14.931894982716441,-71.0,far,22.99496193820827
C,-65.0,far,6.3207110469910175,-65.0,far,10.771114105080107,-71.0,far,14.931894982716441,-71.0,far,22.99496193820827
C,-65.0,far,6.3207110469910175,-65.0,far,10.771114105080107,-71.0,far,14.931894982716441,-71.0,far,22.99496193820827
C,-65.0,far,6.3207110469910175,-65.0,far,10.771114105080107,-71.0,far,14.931894982716441,-71.0,far,22.99496193820827
C,-61.0,far,6.081923232733651,-66.0,far,10.671175249808925,-68.0,far,14.689852297018662,-71.0,far,22.550424474819863
C,-61.0,far,6.081923232733651,-66.0,far,10.671175249808925,-68.0,far,14.689852297018662,-71.0,far,22.550424474819863
C,-61.0,far,6.081923232733651,-66.0,far,10.671175249808925,-68.0,far,14.689852297018662,-71.0,far,22.550424474819863
C,-63.0,far,6.204967348348538,-64.0,far,10.20378898087308,-69.0,far,14.688605679411596,-75.0,far,23.15593740231068
C,-63.0,far,6.204967348348538,-64.0,far,10.20378898087308,-69.0,far,14.688605679411596,-75.0,far,23.15593740231068
C,-63.0,far,6.204967348348538,-64.0,far,10.20378898087308,-69.0,far,14.688605679411596,-75.0,far,23.15593740231068
C,-66.0,far,6.648331895320609,-68.0,far,10.470988292071125,-66.0,far,14.000730901878,-72.0,far,23.001302008206526
C,-66.0,far,6.648331895320609,-68.0,far,10.470988292071125,-66.0,far,14.000730901878,-72.0,far,23.001302008206526
C,-66.0,far,6.648331895320609,-68.0,far,10.470988292071125,-66.0,far,14.000730901878,-72.0,far,23.001302008206526
C,-66.0,far,6.648331895320609,-68.0,far,10.470988292071125,-66.0,far,14.000730901878,-72.0,far,23.001302008206526
C,-67.0,far,7.146864770951157,-65.0,far,10.234807979856676,-67.0,far,13.667919858778498,-73.0,far,23.12572425623677
C,-67.0,far,7.146864770951157,-65.0,far,10.234807979856676,-67.0,far,13.667919858778498,-73.0,far,23.12572425623677
C,-67.0,far,7.146864770951157,-65.0,far,10.234807979856676,-67.0,far,13.667919858778498,-73.0,far,23.12572425623677
C,-59.0,far,6.37493064003245,-64.0,far,9.848999047495642,-69.0,far,13.767753184516543,-72.0,far,22.977444340821243
C,-59.0,far,6.37493064003245,-64.0,far,9.848999047495642,-69.0,far,13.767753184516543,-72.0,far,22.977444340821243
C,-54.0,far,4.862684565759984,-62.0,far,9.131117110997613,-69.0,far,13.858446923854864,-66.0,far,20.642733047312447
C,-54.0,far,4.862684565759984,-62.0,far,9.131117110997613,-69.0,far,13.858446923854864,-66.0,far,20.642733047312447
C,-53.0,far,3.8743139946333076,-62.0,far,8.575163732771342,-71.0,far,14.263862217941139,-68.0,far,19.618243146318875
C,-53.0,far,3.8743139946333076,-62.0,far,8.575163732771342,-71.0,far,14.263862217941139,-68.0,far,19.618243146318875
C,-53.0,far,3.8743139946333076,-62.0,far,8.575163732771342,-71.0,far,14.263862217941139,-68.0,far,19.618243146318875
C,-52.0,near,3.154445672286019,-61.0,far,7.947430759571166,-75.0,far,15.141375092796142,-69.0,far,19.055016119402946
C,-52.0,near,3.154445672286019,-61.0,far,7.947430759571166,-75.0,far,15.141375092796142,-69.0,far,19.055016119402946
C,-52.0,near,3.154445672286019,-61.0,far,7.947430759571166,-75.0,far,15.141375092796142,-69.0,far,19.055016119402946
